"function_name","function_desc"
"clean_icd_list","Expand a list of icd9 code ranges."
"code_to_human",": Format code variable names to proper names."
"dem","Simulated EHR data - Demographics."
"dia","Simulated EHR data - Diagnoses."
"ed","Simulated EHR data - ED."
"ehR_cohort","Simulated cohort & feature set."
"gagne_code","Gagne Comorbididty Score Weights."
"generate_pdf","Convert a list of ggplot objects into a (multi-page) PDF."
"ggplot_footnote_summary",": Format a given plot by adding a summary of the data as a footnote."
"group_race",": Classify given race as one of the conventional medical groups- white, black, hispanic, other."
"load_dep","Load dependencies (DEV function - to be used only for internal testing and development)."
"load_or_install","Load or install R packages (from CRAN or Github (Public or Private Repositories))."
"load_or_install_local","Load or install R packages (Local)."
"merge_PDF","Merge a list of PDFs into a multi-page PDF."
"multi_merge","Merge together multiple data.tables."
"multiformat_glm",": Format a given list of glm() regression objects for easy presentation."
"multiformat_lm",": Format a given list of lm() regression objects for easy presentation."
"multiformat_plm",": Format a given list of plm() regression objects for easy presentation."
"multiformat_regression",": Format a given list of regression objects for easy presentation."
"replace_na_zero_missing","Perform in-place zero/na/missing replacements on a data.table."
"stringify_frequency","Combine elements of a frequency table into a (character) string."
"theme_basic","Basic ggplot theme."
"var_overview","Generate a basic overview of a dataset."
"zocat","Zocat-icd9 crosswalk."
